payslip_id,customer_id,customer_name,payslip_date,product_id,product_name,product_category,amount,product_price
31,1,Stefanie,2020-02-10 21:16:09.730,17,Hammer,Werkzeug,0,6.99
31,1,Stefanie,2020-02-10 21:16:09.730,33,Scheibenklar,Auto,1,2.99
31,1,Stefanie,2020-02-10 21:16:09.730,14,Farbe,Farben,3,14.99
31,1,Stefanie,2020-02-10 21:16:09.730,16,Farbwalze,Farben,1,5.79
31,1,Stefanie,2020-02-10 21:16:09.730,5,Kabel,Elektronik,1,6.99
31,1,Stefanie,2020-02-10 21:16:09.730,4,Mehrfachsteckdose,Elektronik,0,3.29
31,1,Stefanie,2020-02-10 21:16:09.730,8,Brett,Basteln,2,3.99
31,1,Stefanie,2020-02-10 21:16:09.730,8,Brett,Basteln,4,3.99
31,1,Stefanie,2020-02-10 21:16:09.730,26,Heckenschere,Garten,0,9.99
31,1,Stefanie,2020-02-10 21:16:09.730,27,Muellsack,Sonstiges,0,1.99
31,1,Stefanie,2020-02-10 21:16:09.730,27,Muellsack,Sonstiges,0,1.99
514,1,Stefanie,2020-09-01 04:13:21.660,5,Kabel,Elektronik,2,6.99
514,1,Stefanie,2020-09-01 04:13:21.660,9,Nagel,Basteln,1,2.99
514,1,Stefanie,2020-09-01 04:13:21.660,24,Einweggrill,Garten,2,4.79
514,1,Stefanie,2020-09-01 04:13:21.660,33,Scheibenklar,Auto,1,2.99
514,1,Stefanie,2020-09-01 04:13:21.660,15,Lack,Farben,1,6.49
514,1,Stefanie,2020-09-01 04:13:21.660,32,Bremsenmittel,Auto,1,3.99
514,1,Stefanie,2020-09-01 04:13:21.660,29,Grillanzuender,Sonstiges,2,2.99
514,1,Stefanie,2020-09-01 04:13:21.660,34,Destilliertes Wasser,Auto,1,0.99
514,1,Stefanie,2020-09-01 04:13:21.660,28,Feuerzeug,Sonstiges,2,2.59
514,1,Stefanie,2020-09-01 04:13:21.660,7,Cutter,Basteln,0,3.99
521,1,Stefanie,2020-10-22 23:12:08.710,25,Handschuhe,Garten,0,5.99
521,1,Stefanie,2020-10-22 23:12:08.710,18,Akkuschrauber,Werkzeug,0,24.99
521,1,Stefanie,2020-10-22 23:12:08.710,2,Lampenfassung,Elektronik,2,3.19
521,1,Stefanie,2020-10-22 23:12:08.710,6,Polystyrolkugel,Basteln,4,1.49
521,1,Stefanie,2020-10-22 23:12:08.710,3,Batterie,Elektronik,0,4.79
521,1,Stefanie,2020-10-22 23:12:08.710,5,Kabel,Elektronik,1,6.99
521,1,Stefanie,2020-10-22 23:12:08.710,12,Klebeband,Farben,0,3.99
521,1,Stefanie,2020-10-22 23:12:08.710,19,Schraubenzieher,Werkzeug,1,5.99
521,1,Stefanie,2020-10-22 23:12:08.710,28,Feuerzeug,Sonstiges,2,2.59
521,1,Stefanie,2020-10-22 23:12:08.710,1,Gluehbirne,Elektronik,1,3.99
521,1,Stefanie,2020-10-22 23:12:08.710,26,Heckenschere,Garten,1,9.99
544,1,Stefanie,2020-07-05 07:45:44.310,22,Topf,Garten,1,0.79
544,1,Stefanie,2020-07-05 07:45:44.310,9,Nagel,Basteln,0,2.99
544,1,Stefanie,2020-07-05 07:45:44.310,13,Spachtel,Farben,2,4.89
544,1,Stefanie,2020-07-05 07:45:44.310,2,Lampenfassung,Elektronik,4,3.19
544,1,Stefanie,2020-07-05 07:45:44.310,25,Handschuhe,Garten,0,5.99
544,1,Stefanie,2020-07-05 07:45:44.310,22,Topf,Garten,2,0.79
544,1,Stefanie,2020-07-05 07:45:44.310,11,Pinsel,Farben,0,1.89
544,1,Stefanie,2020-07-05 07:45:44.310,6,Polystyrolkugel,Basteln,3,1.49
544,1,Stefanie,2020-07-05 07:45:44.310,20,Zange,Werkzeug,1,3.99
544,1,Stefanie,2020-07-05 07:45:44.310,36,Frostschutz,Auto,0,2.99
596,1,Stefanie,2020-09-11 11:03:50.300,32,Bremsenmittel,Auto,0,3.99
596,1,Stefanie,2020-09-11 11:03:50.300,30,Teelicht,Sonstiges,0,1.49
596,1,Stefanie,2020-09-11 11:03:50.300,36,Frostschutz,Auto,1,2.99
596,1,Stefanie,2020-09-11 11:03:50.300,18,Akkuschrauber,Werkzeug,1,24.99
596,1,Stefanie,2020-09-11 11:03:50.300,13,Spachtel,Farben,2,4.89
596,1,Stefanie,2020-09-11 11:03:50.300,8,Brett,Basteln,2,3.99
596,1,Stefanie,2020-09-11 11:03:50.300,19,Schraubenzieher,Werkzeug,0,5.99
